advisor 2x25 depth=10 vs WeightedRandom, 40 games
collected 5193 predictions in 627s

base rate (actual win freq): 0.827   mean prediction: 0.727
Brier: 0.0971  (base-rate predictor: 0.1430)
log-loss: 0.3034    ECE: 0.1003

 predicted  observed   count
      0.04      0.07     214
      0.15      0.16     148
      0.25      0.29     185
      0.35      0.47     212
      0.45      0.72     162
      0.53      0.83     691
      0.64      0.81     444
      0.75      0.89     496
      0.85      0.96     423
      0.98      0.99    2218
