board,heuristic,winprob,n
0,0.1483,0.03,200
0,0.3522,0.765,200
0,0.3522,0.69,200
0,0.5772,0.87,200
0,0.6544,0.915,200
0,0.6783,0.53,200
0,0.76,0.965,200
0,0.9306,0.93,200
0,0.9806,1.0,200
0,1.29,1.0,200
1,0.3642,0.16,200
1,0.5056,0.31,200
1,0.525,0.315,200
1,0.6011,0.355,200
1,0.7039,0.52,200
1,0.8372,0.85,200
1,0.8472,0.87,200
1,0.9333,0.92,200
1,0.9856,0.88,200
1,1.2206,0.98,200
2,0.2411,0.0,200
2,0.42,0.0,200
2,0.42,0.0,200
2,0.5625,0.18,200
2,0.6683,0.02,200
2,0.8503,0.35,200
2,0.8503,0.355,200
2,0.9858,0.375,200
2,1.0903,0.715,200
2,1.3025,0.875,200
3,0.17,0.0,200
3,0.3989,0.405,200
3,0.41,0.23,200
3,0.5439,0.25,200
3,0.6556,0.745,200
3,0.6822,0.68,200
3,0.8267,0.935,200
3,0.9389,0.955,200
3,0.9944,0.97,200
3,1.1928,0.97,200
4,0.1478,0.005,200
4,0.3444,0.14,200
4,0.3967,0.345,200
4,0.6144,0.35,200
4,0.6144,0.365,200
4,0.7411,0.715,200
4,0.7794,0.71,200
4,0.9028,0.69,200
4,0.9089,0.755,200
4,1.1094,0.835,200
5,0.2453,0.09,200
5,0.4875,0.255,200
5,0.4908,0.14,200
5,0.6031,0.59,200
5,0.6892,0.205,200
5,0.69,0.355,200
5,0.7833,0.61,200
5,0.9194,0.415,200
5,0.9383,0.72,200
5,1.1156,0.61,200
6,0.2161,0.0,200
6,0.4233,0.285,200
6,0.4311,0.07,200
6,0.5922,0.575,200
6,0.6753,0.905,200
6,0.7467,0.695,200
6,0.8208,0.92,200
6,1.05,0.925,200
6,1.05,0.965,200
6,1.2025,0.965,200
7,0.2775,0.04,200
7,0.5186,0.72,200
7,0.5186,0.69,200
7,0.6344,0.79,200
7,0.8056,0.975,200
7,0.8281,0.98,200
7,0.8281,0.985,200
7,1.0083,1.0,200
7,1.0306,0.99,200
7,1.3067,1.0,200
8,0.2078,0.0,200
8,0.3522,0.15,200
8,0.4017,0.54,200
8,0.5717,0.5,200
8,0.6944,0.685,200
8,0.7322,0.845,200
8,0.7461,0.86,200
8,0.9361,0.885,200
8,0.9861,0.925,200
8,1.11,0.92,200
9,0.175,0.005,200
9,0.3606,0.045,200
9,0.4275,0.375,200
9,0.5061,0.31,200
9,0.5964,0.515,200
9,0.7356,0.69,200
9,0.7417,0.475,200
9,0.9261,0.925,200
9,0.9714,0.945,200
9,1.1733,0.99,200
10,0.1492,0.08,200
10,0.3217,0.025,200
10,0.3739,0.215,200
10,0.5578,0.275,200
10,0.5772,0.31,200
10,0.7153,0.565,200
10,0.7806,0.685,200
10,0.9769,0.805,200
10,1.0175,0.84,200
10,1.2303,0.97,200
11,0.18,0.025,200
11,0.4867,0.75,200
11,0.4867,0.755,200
11,0.5989,0.885,200
11,0.735,0.865,200
11,0.7822,0.955,200
11,0.7822,0.965,200
11,0.9389,0.995,200
11,0.9806,0.975,200
11,1.2094,1.0,200
12,0.3017,0.005,200
12,0.4228,0.14,200
